Age,Gender,MaritalStatus,Department,JobRole,JobLevel,OverTime,OverTimeFlag,MonthlyIncome,SalaryGroup,TotalWorkingYears,ExperienceGroup,YearsAtCompany,TenureGroup,StockOptionLevel,OverTime_LowSalary,EarlyCareer,Attrition,Attrition_Prob,RiskCategory
33,Female,Single,Sales,Sales Representative,1,Yes,1,2851,Low,1,0-2,1,0-1,0,1,1,1,0.9554163128684157,High Risk
37,Female,Married,Research & Development,Laboratory Technician,1,No,0,3452,Mid-Low,17,11-20,5,4-5,1,0,0,0,0.24052405986656528,Low Risk
46,Female,Married,Research & Development,Manufacturing Director,2,No,0,5258,Mid-High,7,6-10,1,0-1,0,0,1,0,0.64973210159937,Medium Risk
41,Male,Single,Sales,Sales Executive,2,No,0,9355,High,8,6-10,8,6-10,0,0,0,1,0.3418701559310399,Low Risk
50,Male,Single,Research & Development,Healthcare Representative,3,No,0,10496,High,20,11-20,4,4-5,0,0,0,0,0.2431610288361608,Low Risk
40,Male,Married,Sales,Sales Executive,2,Yes,1,6380,Mid-High,8,6-10,6,6-10,2,0,0,1,0.400289706401475,Medium Risk
31,Male,Single,Research & Development,Research Scientist,1,Yes,1,2657,Low,3,3-5,2,2-3,0,1,0,0,0.8646773333093314,High Risk
21,Female,Single,Sales,Sales Representative,1,No,0,2716,Low,1,0-2,1,0-1,0,0,1,1,0.782911238147663,High Risk
29,Male,Single,Research & Development,Research Scientist,1,No,0,2201,Low,6,6-10,3,2-3,0,0,0,0,0.45331641715927906,Medium Risk
35,Male,Single,Research & Development,Healthcare Representative,2,No,0,6540,Mid-High,10,6-10,1,0-1,0,0,1,0,0.6663471537105159,Medium Risk
27,Male,Divorced,Research & Development,Laboratory Technician,1,No,0,3816,Mid-Low,5,3-5,5,4-5,1,0,0,0,0.34807090112969896,Low Risk
28,Male,Single,Sales,Sales Executive,2,No,0,5253,Mid-High,7,6-10,7,6-10,0,0,0,0,0.46091848689034104,Medium Risk
49,Male,Single,Research & Development,Healthcare Representative,3,No,0,10965,High,26,21+,5,4-5,0,0,0,0,0.2149116629257669,Low Risk
51,Female,Married,Sales,Sales Executive,2,No,0,4936,Mid-High,18,11-20,7,6-10,1,0,0,0,0.20283731482244716,Low Risk
36,Female,Married,Research & Development,Research Scientist,1,No,0,2543,Low,6,6-10,2,2-3,1,0,0,0,0.307915396361943,Low Risk
34,Male,Single,Sales,Sales Executive,2,Yes,1,5304,Mid-High,9,6-10,5,4-5,0,0,0,1,0.6530980816123643,Medium Risk
55,Female,Single,Research & Development,Manager,4,Yes,1,16659,High,30,21+,5,4-5,0,0,0,0,0.3350980942329322,Low Risk
24,Female,Divorced,Sales,Sales Executive,2,Yes,1,4260,Mid-Low,5,3-5,5,4-5,1,0,0,0,0.6355339690916078,Medium Risk
30,Male,Married,Sales,Sales Representative,1,No,0,2476,Low,1,0-2,1,0-1,1,0,1,0,0.6597233988942329,Medium Risk
26,Male,Single,Research & Development,Research Scientist,1,No,0,3102,Mid-Low,7,6-10,6,6-10,0,0,0,1,0.45899134870870145,Medium Risk
22,Female,Married,Research & Development,Research Scientist,1,No,0,2244,Low,2,0-2,2,2-3,1,0,1,0,0.694774084776866,Medium Risk
36,Male,Married,Sales,Sales Executive,3,No,0,7596,Mid-High,10,6-10,10,6-10,2,0,0,0,0.2245886658294747,Low Risk
30,Male,Single,Research & Development,Research Scientist,1,Yes,1,2285,Low,3,3-5,1,0-1,0,1,1,1,0.9568934645031815,High Risk
37,Female,Divorced,Research & Development,Laboratory Technician,1,No,0,3034,Mid-Low,18,11-20,18,11+,1,0,0,0,0.26972430612031006,Low Risk
40,Female,Divorced,Sales,Sales Executive,2,No,0,5715,Mid-High,8,6-10,5,4-5,2,0,0,0,0.2014596010926251,Low Risk
42,Female,Divorced,Research & Development,Laboratory Technician,1,No,0,2576,Low,8,6-10,5,4-5,1,0,0,0,0.278117794564099,Low Risk
37,Male,Single,Research & Development,Manufacturing Director,2,Yes,1,4197,Mid-Low,18,11-20,1,0-1,0,0,1,0,0.8242638299243007,High Risk
43,Male,Divorced,Research & Development,Research Director,4,No,0,14336,High,25,21+,25,11+,1,0,0,0,0.2017683059334354,Low Risk
40,Female,Married,Research & Development,Laboratory Technician,2,No,0,3448,Mid-Low,20,11-20,1,0-1,1,0,1,0,0.5057280875727291,Medium Risk
54,Male,Married,Research & Development,Research Director,5,No,0,19406,High,24,21+,4,4-5,1,0,0,0,0.12475128381505525,Low Risk
34,Female,Married,Sales,Sales Executive,2,No,0,6538,Mid-High,6,6-10,3,2-3,1,0,0,0,0.30634457791737557,Low Risk
31,Female,Married,Research & Development,Manufacturing Director,2,No,0,4306,Mid-Low,13,11-20,13,11+,1,0,0,0,0.32926123619697356,Low Risk
43,Male,Married,Research & Development,Laboratory Technician,1,No,0,2258,Low,8,6-10,3,2-3,1,0,0,0,0.2724652548748406,Low Risk
43,Female,Divorced,Research & Development,Healthcare Representative,2,Yes,1,4522,Mid-Low,8,6-10,5,4-5,0,0,0,0,0.6265445674880493,Medium Risk
25,Female,Single,Sales,Sales Executive,2,Yes,1,4487,Mid-Low,5,3-5,5,4-5,0,0,0,0,0.7255920731300248,High Risk
37,Female,Married,Research & Development,Research Scientist,2,Yes,1,4449,Mid-Low,15,11-20,13,11+,2,0,0,0,0.41307789992427085,Medium Risk
31,Male,Married,Research & Development,Laboratory Technician,1,No,0,2218,Low,4,3-5,4,4-5,1,0,0,0,0.3521497558008269,Low Risk
39,Male,Divorced,Research & Development,Manager,5,Yes,1,19197,High,21,21+,21,11+,1,0,0,0,0.4155872706837796,Medium Risk
56,Female,Married,Sales,Sales Executive,4,No,0,13212,High,36,21+,7,6-10,3,0,0,0,0.04698298612752452,Low Risk
30,Female,Single,Sales,Sales Executive,2,No,0,6577,Mid-High,6,6-10,5,4-5,0,0,0,0,0.4343959435689056,Medium Risk
41,Male,Married,Sales,Sales Executive,3,No,0,8392,High,10,6-10,10,6-10,1,0,0,0,0.2819609672718917,Low Risk
28,Male,Divorced,Research & Development,Laboratory Technician,2,No,0,4558,Mid-Low,10,6-10,10,6-10,1,0,0,0,0.350676229039879,Low Risk
25,Male,Married,Research & Development,Laboratory Technician,1,No,0,4031,Mid-Low,6,6-10,2,2-3,1,0,0,1,0.3401170775166259,Low Risk
52,Male,Married,Research & Development,Manufacturing Director,3,Yes,1,7969,Mid-High,28,21+,5,4-5,0,0,0,0,0.4354512185740389,Medium Risk
45,Male,Married,Research & Development,Research Scientist,1,No,0,2654,Low,8,6-10,2,2-3,2,0,0,0,0.18166601591161108,Low Risk
52,Female,Married,Research & Development,Manager,4,No,0,16555,High,31,21+,5,4-5,0,0,0,0,0.16219938748570636,Low Risk
42,Female,Divorced,Research & Development,Research Scientist,2,No,0,4556,Mid-Low,19,11-20,5,4-5,1,0,0,0,0.22850641682627915,Low Risk
30,Female,Single,Research & Development,Manufacturing Director,2,No,0,6091,Mid-High,11,11-20,5,4-5,0,0,0,0,0.40648220797860124,Medium Risk
60,Female,Married,Research & Development,Manager,5,No,0,19566,High,33,21+,29,11+,0,0,0,0,0.1713854817792028,Low Risk
46,Female,Divorced,Research & Development,Manufacturing Director,2,No,0,4810,Mid-Low,19,11-20,10,6-10,1,0,0,0,0.22258261322463677,Low Risk
42,Female,Married,Research & Development,Healthcare Representative,2,No,0,4523,Mid-Low,7,6-10,6,6-10,3,0,0,0,0.14630627680449587,Low Risk
24,Female,Single,Sales,Sales Representative,1,Yes,1,3202,Mid-Low,6,6-10,5,4-5,0,0,0,1,0.7073916891727898,High Risk
34,Female,Divorced,Sales,Sales Representative,1,No,0,2351,Low,3,3-5,2,2-3,1,0,0,1,0.33745521969342845,Low Risk
38,Male,Married,Research & Development,Laboratory Technician,1,Yes,1,1702,Low,1,0-2,1,0-1,1,1,1,0,0.9291701085885491,High Risk
40,Female,Married,Sales,Manager,5,No,0,18041,High,21,21+,20,11+,0,0,0,0,0.2974040090158824,Low Risk
26,Female,Divorced,Research & Development,Research Scientist,1,No,0,2886,Low,3,3-5,3,2-3,2,0,0,0,0.27381619480205216,Low Risk
30,Male,Married,Research & Development,Laboratory Technician,1,No,0,2097,Low,9,6-10,5,4-5,1,0,0,0,0.3294602262105995,Low Risk
29,Male,Married,Research & Development,Research Director,3,No,0,11935,High,10,6-10,10,6-10,0,0,0,0,0.3949382795614524,Low Risk
29,Female,Married,Research & Development,Research Scientist,1,No,0,2546,Low,6,6-10,2,2-3,0,0,0,1,0.4457774552490645,Medium Risk
19,Male,Single,Human Resources,Human Resources,1,No,0,2564,Low,1,0-2,1,0-1,0,0,1,1,0.7911248822280793,High Risk
30,Female,Married,Sales,Sales Executive,3,No,0,8412,High,10,6-10,9,6-10,0,0,0,0,0.43197236535229505,Medium Risk
57,Male,Divorced,Sales,Manager,4,No,0,14118,High,32,21+,1,0-1,1,0,1,0,0.28402928356466733,Low Risk
50,Male,Married,Research & Development,Manager,4,No,0,17046,High,28,21+,27,11+,1,0,0,0,0.15173434374671335,Low Risk
30,Female,Single,Research & Development,Laboratory Technician,1,No,0,2564,Low,12,11-20,11,11+,0,0,0,0,0.4263427265123956,Medium Risk
60,Female,Married,Sales,Sales Executive,3,No,0,10266,High,22,21+,18,11+,0,0,0,0,0.22929703764205442,Low Risk
47,Female,Divorced,Research & Development,Manufacturing Director,2,No,0,5070,Mid-High,20,11-20,5,4-5,3,0,0,0,0.09347100108018552,Low Risk
46,Male,Married,Research & Development,Research Director,4,No,0,17861,High,26,21+,3,2-3,0,0,0,0,0.18661627628025157,Low Risk
35,Male,Single,Research & Development,Laboratory Technician,1,No,0,4230,Mid-Low,6,6-10,5,4-5,0,0,0,0,0.4030973950785318,Medium Risk
54,Female,Single,Research & Development,Laboratory Technician,2,No,0,3780,Mid-Low,19,11-20,1,0-1,0,0,1,0,0.548661857697252,Medium Risk
34,Male,Divorced,Research & Development,Research Scientist,1,No,0,2768,Low,14,11-20,7,6-10,1,0,0,0,0.28017816358824776,Low Risk
46,Female,Married,Sales,Sales Executive,3,Yes,1,9071,High,15,11-20,3,2-3,1,0,0,0,0.424681392791853,Medium Risk
31,Male,Divorced,Research & Development,Manufacturing Director,3,No,0,10648,High,13,11-20,13,11+,1,0,0,0,0.2899066907572545,Low Risk
33,Male,Married,Research & Development,Manager,3,Yes,1,13610,High,15,11-20,7,6-10,0,0,0,1,0.555217047265691,Medium Risk
33,Male,Divorced,Research & Development,Laboratory Technician,1,No,0,3408,Mid-Low,8,6-10,4,4-5,3,0,0,1,0.15148042257008978,Low Risk
30,Male,Single,Sales,Sales Representative,1,No,0,2983,Mid-Low,4,3-5,3,2-3,0,0,0,0,0.4519246375983936,Medium Risk
35,Male,Married,Research & Development,Healthcare Representative,3,Yes,1,7632,Mid-High,10,6-10,8,6-10,0,0,0,0,0.6565971584820917,Medium Risk
31,Male,Married,Research & Development,Healthcare Representative,3,No,0,9824,High,12,11-20,1,0-1,0,0,1,1,0.6669477609944099,Medium Risk
34,Female,Divorced,Human Resources,Human Resources,3,Yes,1,9950,High,11,11-20,3,2-3,3,0,0,1,0.29124685901157243,Low Risk
42,Male,Married,Research & Development,Laboratory Technician,1,No,0,2093,Low,8,6-10,2,2-3,1,0,0,0,0.27582790969046844,Low Risk
36,Male,Single,Sales,Sales Executive,3,No,0,9980,High,10,6-10,10,6-10,0,0,0,0,0.3852998942353609,Low Risk
22,Male,Single,Research & Development,Laboratory Technician,1,No,0,3894,Mid-Low,4,3-5,2,2-3,0,0,0,1,0.4777190111448624,Medium Risk
48,Female,Married,Sales,Sales Executive,2,No,0,4051,Mid-Low,14,11-20,9,6-10,1,0,0,0,0.2453075462698309,Low Risk
55,Female,Single,Sales,Manager,4,No,0,16835,High,37,21+,10,6-10,0,0,0,0,0.13883886004264756,Low Risk
41,Male,Single,Sales,Sales Executive,2,No,0,6230,Mid-High,16,11-20,14,11+,0,0,0,0,0.3450428829765251,Low Risk
35,Male,Married,Sales,Sales Executive,2,No,0,4717,Mid-Low,15,11-20,11,11+,0,0,0,0,0.39006438821412226,Low Risk
40,Female,Single,Research & Development,Manufacturing Director,4,No,0,13237,High,22,21+,20,11+,0,0,0,0,0.3133640683078092,Low Risk
39,Female,Married,Research & Development,Laboratory Technician,1,No,0,3755,Mid-Low,8,6-10,8,6-10,1,0,0,0,0.2854578314454564,Low Risk
31,Male,Single,Sales,Sales Executive,2,Yes,1,6582,Mid-High,10,6-10,6,6-10,0,0,0,0,0.6481953443021252,Medium Risk
42,Male,Married,Research & Development,Manufacturing Director,3,Yes,1,7406,Mid-High,10,6-10,10,6-10,1,0,0,0,0.5230742067777848,Medium Risk
45,Male,Married,Sales,Sales Executive,2,No,0,4805,Mid-Low,9,6-10,8,6-10,1,0,0,0,0.27406004483093965,Low Risk
26,Female,Divorced,Human Resources,Human Resources,1,Yes,1,2741,Low,8,6-10,7,6-10,1,1,0,1,0.8061590054541871,High Risk
29,Male,Divorced,Research & Development,Manufacturing Director,2,No,0,4262,Mid-Low,8,6-10,3,2-3,2,0,0,0,0.24978761845300593,Low Risk
33,Female,Divorced,Research & Development,Research Director,4,No,0,16184,High,10,6-10,6,6-10,1,0,0,0,0.25338840353518666,Low Risk
31,Male,Divorced,Sales,Manager,3,No,0,11557,High,10,6-10,5,4-5,1,0,0,0,0.27728902335893696,Low Risk
18,Male,Single,Sales,Sales Representative,1,Yes,1,1878,Low,0,0-2,0,0-1,0,1,1,1,0.9689096629494435,High Risk
40,Male,Divorced,Sales,Sales Executive,3,No,0,10932,High,20,11-20,1,0-1,1,0,1,0,0.4448369604452243,Medium Risk
41,Female,Single,Research & Development,Healthcare Representative,2,Yes,1,6811,Mid-High,10,6-10,8,6-10,0,0,0,0,0.6031583000444609,Medium Risk
26,Male,Divorced,Sales,Sales Executive,2,No,0,4306,Mid-Low,8,6-10,0,0-1,2,0,1,0,0.5349622095126796,Medium Risk
35,Female,Single,Sales,Sales Executive,2,No,0,4859,Mid-Low,5,3-5,5,4-5,0,0,0,0,0.43834123999082414,Medium Risk
34,Male,Single,Sales,Sales Executive,2,No,0,5337,Mid-High,10,6-10,10,6-10,0,0,0,0,0.41792327982279337,Medium Risk
26,Male,Single,Research & Development,Laboratory Technician,1,Yes,1,2340,Low,1,0-2,1,0-1,0,1,1,1,0.9621374503819322,High Risk
37,Female,Single,Research & Development,Manufacturing Director,3,No,0,7491,Mid-High,12,11-20,6,6-10,0,0,0,0,0.3865722716328016,Low Risk
46,Female,Married,Research & Development,Healthcare Representative,3,No,0,10527,High,28,21+,2,2-3,0,0,0,0,0.2135006793593483,Low Risk
41,Female,Married,Sales,Manager,4,No,0,16595,High,22,21+,18,11+,1,0,0,0,0.1892004106125014,Low Risk
37,Male,Divorced,Sales,Sales Executive,3,No,0,8834,High,9,6-10,9,6-10,1,0,0,0,0.2972776786448937,Low Risk
52,Male,Divorced,Research & Development,Research Scientist,2,Yes,1,5577,Mid-High,18,11-20,10,6-10,2,0,0,0,0.3017110156957938,Low Risk
32,Male,Married,Sales,Sales Executive,2,No,0,4707,Mid-Low,6,6-10,4,4-5,0,0,0,1,0.4455365042040009,Medium Risk
24,Male,Married,Sales,Sales Representative,1,No,0,2400,Low,3,3-5,2,2-3,2,0,0,0,0.2847464247750008,Low Risk
38,Female,Married,Research & Development,Healthcare Representative,2,No,0,9824,High,18,11-20,1,0-1,1,0,1,0,0.4462370131614901,Medium Risk
37,Female,Married,Research & Development,Manufacturing Director,2,No,0,6447,Mid-High,8,6-10,6,6-10,1,0,0,0,0.29045649880972346,Low Risk
49,Male,Divorced,Research & Development,Research Director,5,Yes,1,19502,High,31,21+,31,11+,1,0,0,0,0.3275181151467968,Low Risk
24,Male,Married,Research & Development,Research Scientist,1,Yes,1,2725,Low,6,6-10,6,6-10,2,1,0,0,0.7430860938067232,High Risk
26,Male,Married,Sales,Sales Executive,2,No,0,6272,Mid-High,6,6-10,5,4-5,2,0,0,0,0.25664733169418263,Low Risk
24,Male,Married,Research & Development,Laboratory Technician,1,No,0,2127,Low,1,0-2,1,0-1,1,0,1,0,0.690710720577838,Medium Risk
50,Male,Married,Human Resources,Manager,5,No,0,18200,High,32,21+,32,11+,1,0,0,0,0.15672945823230652,Low Risk
25,Male,Married,Sales,Sales Representative,1,No,0,2096,Low,7,6-10,7,6-10,0,0,0,0,0.4803557563779105,Medium Risk
24,Female,Married,Research & Development,Laboratory Technician,1,Yes,1,2886,Low,6,6-10,6,6-10,1,1,0,1,0.8179302535510034,High Risk
30,Male,Married,Sales,Sales Representative,1,No,0,2033,Low,1,0-2,1,0-1,1,0,1,1,0.6649424573960547,Medium Risk
34,Male,Married,Research & Development,Research Scientist,1,Yes,1,3622,Mid-Low,6,6-10,6,6-10,1,0,0,0,0.554562866889664,Medium Risk
31,Male,Divorced,Sales,Sales Executive,2,No,0,4233,Mid-Low,9,6-10,3,2-3,0,0,0,1,0.4329905807309449,Medium Risk
35,Male,Single,Research & Development,Laboratory Technician,2,No,0,3681,Mid-Low,9,6-10,3,2-3,0,0,0,0,0.42004710024929165,Medium Risk
31,Male,Divorced,Sales,Sales Executive,2,No,0,5460,Mid-High,13,11-20,7,6-10,2,0,0,0,0.2150292060372501,Low Risk
27,Female,Divorced,Research & Development,Research Scientist,1,No,0,2187,Low,6,6-10,5,4-5,2,0,0,0,0.26530941212971776,Low Risk
37,Male,Married,Sales,Sales Executive,2,Yes,1,9602,High,17,11-20,3,2-3,1,0,0,0,0.41267643697855183,Medium Risk
20,Female,Single,Research & Development,Research Scientist,1,No,0,2836,Low,1,0-2,1,0-1,0,0,1,0,0.7853113203688216,High Risk
42,Female,Married,Research & Development,Healthcare Representative,2,No,0,4089,Mid-Low,10,6-10,10,6-10,2,0,0,0,0.20963051708728953,Low Risk
43,Male,Divorced,Research & Development,Research Director,4,Yes,1,16627,High,21,21+,1,0-1,1,0,1,0,0.6304993226454022,Medium Risk
38,Female,Single,Research & Development,Research Scientist,1,No,0,2619,Low,8,6-10,0,0-1,0,0,1,0,0.6749741914093759,Medium Risk
43,Male,Divorced,Research & Development,Laboratory Technician,2,Yes,1,5679,Mid-High,10,6-10,8,6-10,1,0,0,0,0.49711930091295,Medium Risk
48,Female,Married,Research & Development,Manager,4,No,0,15402,High,21,21+,3,2-3,1,0,0,0,0.155484229820723,Low Risk
44,Female,Single,Human Resources,Human Resources,2,No,0,5985,Mid-High,10,6-10,2,2-3,0,0,0,0,0.3387706135044911,Low Risk
34,Female,Divorced,Sales,Sales Representative,1,Yes,1,2579,Low,8,6-10,8,6-10,2,1,0,0,0.6970469757191115,Medium Risk
27,Male,Divorced,Sales,Sales Representative,1,No,0,3041,Mid-Low,5,3-5,4,4-5,1,0,0,1,0.354573235461334,Low Risk
21,Male,Single,Sales,Sales Representative,1,No,0,3447,Mid-Low,3,3-5,3,2-3,0,0,0,0,0.49879863960472504,Medium Risk
44,Male,Married,Research & Development,Manager,5,Yes,1,19513,High,26,21+,2,2-3,1,0,0,0,0.30283972449668817,Low Risk
22,Male,Married,Research & Development,Research Scientist,1,No,0,2773,Low,3,3-5,2,2-3,0,0,0,0,0.4994768108764345,Medium Risk
33,Male,Divorced,Sales,Sales Executive,2,No,0,7104,Mid-High,6,6-10,5,4-5,0,0,0,0,0.41260713031900315,Medium Risk
32,Female,Married,Research & Development,Research Scientist,2,Yes,1,6322,Mid-High,6,6-10,6,6-10,1,0,0,0,0.5665202620455628,Medium Risk
30,Female,Divorced,Research & Development,Research Scientist,1,No,0,2083,Low,1,0-2,1,0-1,1,0,1,0,0.6643553848129151,Medium Risk
53,Female,Single,Sales,Sales Executive,2,No,0,8381,High,18,11-20,14,11+,0,0,0,0,0.25802040561106854,Low Risk
34,Male,Married,Research & Development,Research Scientist,1,No,0,2691,Low,10,6-10,10,6-10,1,0,0,0,0.3120632380103277,Low Risk
45,Female,Married,Sales,Sales Executive,2,No,0,4286,Mid-Low,5,3-5,1,0-1,2,0,1,1,0.46208436949946435,Medium Risk
26,Female,Married,Research & Development,Laboratory Technician,1,Yes,1,2659,Low,3,3-5,3,2-3,1,1,0,0,0.8206241974236784,High Risk
37,Male,Married,Research & Development,Manufacturing Director,3,No,0,9434,High,10,6-10,10,6-10,1,0,0,0,0.28748148583499744,Low Risk
29,Female,Married,Sales,Sales Executive,2,No,0,5561,Mid-High,6,6-10,6,6-10,1,0,0,0,0.3483222502597904,Low Risk
35,Male,Single,Research & Development,Research Scientist,2,No,0,6646,Mid-High,17,11-20,17,11+,0,0,0,0,0.3702889307678063,Low Risk
33,Male,Divorced,Research & Development,Healthcare Representative,2,No,0,7725,Mid-High,15,11-20,13,11+,1,0,0,0,0.27116693563509064,Low Risk
54,Male,Married,Human Resources,Human Resources,3,No,0,10725,High,16,11-20,9,6-10,1,0,0,0,0.18173010098654277,Low Risk
36,Male,Divorced,Research & Development,Manufacturing Director,2,Yes,1,8847,High,13,11-20,3,2-3,1,0,0,0,0.455000112119204,Medium Risk
27,Male,Single,Research & Development,Research Scientist,1,No,0,2045,Low,5,3-5,4,4-5,0,0,0,0,0.4755864409899511,Medium Risk
20,Male,Single,Research & Development,Research Scientist,1,Yes,1,1009,Low,1,0-2,1,0-1,0,1,1,1,0.9685775803455284,High Risk
33,Male,Single,Research & Development,Research Scientist,1,Yes,1,3348,Mid-Low,10,6-10,10,6-10,0,0,0,1,0.654724819836717,Medium Risk
35,Male,Married,Research & Development,Laboratory Technician,1,No,0,1281,Low,1,0-2,1,0-1,2,0,1,0,0.5433202656056885,Medium Risk
23,Male,Married,Research & Development,Research Scientist,1,No,0,2819,Low,5,3-5,3,2-3,1,0,0,0,0.37341439281540034,Low Risk
25,Male,Married,Sales,Sales Executive,2,No,0,4851,Mid-Low,4,3-5,3,2-3,1,0,0,0,0.38040626486551965,Low Risk
38,Female,Single,Sales,Sales Executive,2,No,0,4028,Mid-Low,8,6-10,7,6-10,0,0,0,0,0.4194213922217545,Medium Risk
29,Male,Divorced,Research & Development,Research Scientist,1,No,0,2720,Low,10,6-10,10,6-10,1,0,0,0,0.3341396974306912,Low Risk
48,Male,Married,Sales,Sales Executive,2,No,0,8120,Mid-High,12,11-20,2,2-3,0,0,0,0,0.28509647840099184,Low Risk
27,Female,Divorced,Sales,Sales Executive,2,Yes,1,4647,Mid-Low,6,6-10,6,6-10,2,0,0,0,0.5024009903460342,Medium Risk
37,Male,Single,Research & Development,Research Scientist,1,No,0,4680,Mid-Low,4,3-5,1,0-1,0,0,1,0,0.6829030332830937,Medium Risk
50,Male,Married,Research & Development,Laboratory Technician,1,Yes,1,3221,Mid-Low,20,11-20,20,11+,3,0,0,0,0.23044920085463738,Low Risk
34,Female,Single,Research & Development,Healthcare Representative,3,No,0,8621,High,9,6-10,8,6-10,0,0,0,0,0.41312269387037187,Medium Risk
24,Female,Single,Sales,Sales Executive,2,No,0,4577,Mid-Low,4,3-5,2,2-3,0,0,0,1,0.49590358928694955,Medium Risk
39,Female,Single,Research & Development,Healthcare Representative,2,No,0,4553,Mid-Low,20,11-20,20,11+,0,0,0,0,0.3658743982503084,Low Risk
32,Male,Single,Sales,Sales Executive,2,No,0,5396,Mid-High,10,6-10,10,6-10,0,0,0,0,0.42716846694623195,Medium Risk
50,Male,Married,Sales,Sales Executive,2,Yes,1,6796,Mid-High,18,11-20,4,4-5,1,0,0,1,0.38052096490632575,Low Risk
38,Female,Single,Research & Development,Healthcare Representative,2,No,0,7625,Mid-High,10,6-10,9,6-10,0,0,0,0,0.3667643838687151,Low Risk
27,Female,Married,Research & Development,Manufacturing Director,3,No,0,7412,Mid-High,9,6-10,9,6-10,0,0,0,0,0.4671490327224148,Medium Risk
32,Female,Single,Research & Development,Research Director,3,No,0,11159,High,10,6-10,7,6-10,0,0,0,0,0.38128449323857755,Low Risk
47,Male,Single,Sales,Sales Executive,2,No,0,4960,Mid-High,20,11-20,7,6-10,0,0,0,0,0.29003806843830804,Low Risk
40,Male,Married,Sales,Sales Executive,3,Yes,1,10475,High,20,11-20,18,11+,1,0,0,0,0.4476062932017079,Medium Risk
53,Male,Married,Research & Development,Research Director,4,No,0,14814,High,32,21+,5,4-5,0,0,0,0,0.1681523362781522,Low Risk
41,Male,Divorced,Human Resources,Manager,5,No,0,19141,High,23,21+,21,11+,3,0,0,0,0.08880514884569211,Low Risk
60,Male,Single,Sales,Sales Executive,2,No,0,5405,Mid-High,10,6-10,2,2-3,0,0,0,0,0.2756349968799064,Low Risk
27,Male,Divorced,Research & Development,Manufacturing Director,3,No,0,8793,High,9,6-10,9,6-10,2,0,0,0,0.24937715288342444,Low Risk
41,Male,Married,Human Resources,Manager,5,No,0,19189,High,22,21+,22,11+,1,0,0,0,0.19894283983707065,Low Risk
50,Male,Married,Sales,Sales Representative,1,No,0,3875,Mid-Low,4,3-5,2,2-3,1,0,0,0,0.24769038437950644,Low Risk
28,Female,Single,Research & Development,Research Scientist,1,Yes,1,2216,Low,10,6-10,7,6-10,0,1,0,1,0.8587104938626754,High Risk
36,Female,Married,Research & Development,Research Director,3,No,0,11713,High,10,6-10,8,6-10,1,0,0,0,0.2627378783322556,Low Risk
38,Female,Single,Research & Development,Manufacturing Director,3,Yes,1,7861,Mid-High,10,6-10,1,0-1,0,0,1,0,0.8463265333194067,High Risk
44,Male,Single,Research & Development,Laboratory Technician,1,No,0,3708,Mid-Low,9,6-10,5,4-5,0,0,0,0,0.3466746243536263,Low Risk
47,Female,Divorced,Sales,Sales Executive,4,Yes,1,13770,High,28,21+,22,11+,2,0,0,0,0.26863189582643193,Low Risk
30,Male,Divorced,Sales,Sales Executive,2,No,0,5304,Mid-High,10,6-10,8,6-10,1,0,0,0,0.32718369094637817,Low Risk
29,Male,Single,Sales,Sales Representative,1,No,0,2642,Low,1,0-2,1,0-1,0,0,1,0,0.7544733385100166,High Risk
42,Male,Divorced,Research & Development,Research Scientist,1,Yes,1,2759,Low,7,6-10,2,2-3,0,1,0,1,0.8193090172768741,High Risk
43,Male,Married,Sales,Sales Executive,2,No,0,6804,Mid-High,7,6-10,2,2-3,1,0,0,0,0.2580546085306193,Low Risk
34,Female,Single,Research & Development,Healthcare Representative,2,No,0,6142,Mid-High,10,6-10,5,4-5,0,0,0,0,0.3928915387306358,Low Risk
23,Male,Married,Research & Development,Laboratory Technician,1,No,0,2500,Low,5,3-5,4,4-5,1,0,0,0,0.38024708691881687,Low Risk
39,Female,Married,Human Resources,Human Resources,2,No,0,6389,Mid-High,12,11-20,8,6-10,1,0,0,0,0.2652847990037218,Low Risk
56,Male,Married,Research & Development,Healthcare Representative,4,No,0,11103,High,30,21+,10,6-10,0,0,0,0,0.20632040068825766,Low Risk
40,Female,Single,Research & Development,Research Scientist,1,Yes,1,2342,Low,5,3-5,4,4-5,0,1,0,0,0.8396061722659274,High Risk
27,Female,Single,Research & Development,Healthcare Representative,2,No,0,6811,Mid-High,9,6-10,7,6-10,0,0,0,0,0.431853056880099,Medium Risk
29,Male,Divorced,Sales,Sales Representative,1,No,0,2297,Low,2,0-2,2,2-3,2,0,1,0,0.5566180941581125,Medium Risk
53,Male,Single,Research & Development,Laboratory Technician,2,No,0,2450,Low,19,11-20,2,2-3,0,0,0,0,0.285080104011549,Low Risk
35,Female,Divorced,Research & Development,Healthcare Representative,2,No,0,5093,Mid-High,16,11-20,1,0-1,1,0,1,0,0.5376556894509525,Medium Risk
32,Male,Married,Research & Development,Laboratory Technician,2,No,0,5309,Mid-High,10,6-10,10,6-10,2,0,0,0,0.23389888662799366,Low Risk
38,Male,Married,Research & Development,Research Scientist,1,Yes,1,3057,Mid-Low,6,6-10,1,0-1,1,0,1,0,0.7896712765341154,High Risk
34,Female,Divorced,Research & Development,Manufacturing Director,2,No,0,5121,Mid-High,7,6-10,0,0-1,1,0,1,0,0.6010839655218627,Medium Risk
